Hi.	مرحبًا.
Maybe she won't come.	من الممكن أن لا تأتي.
Michael Jackson died.	توفي مايكل جاكسون.
Most people think so.	يعتقد الكثيرون ذلك.
My family lives here.	عائلتي تسكن هنا
My home is your home.	بيتي هو بيتك
My mother can't come.	لن تسطيع أمي القدوم.
My mother can't come.	أمي لا يمكنها المجيء.
My mother can't come.	لا يمكن لأمي أن تأتي.
Nobody owns the moon.	لا أحد يملك القمر.
Nobody spoke with me.	لا احد يكلمني
Please deal the card.	من فضلك وزّع الورق.
Please help yourself.	تفضّل البيت بيتك.
Please help yourself.	تفضّل المكان مكانك.
Please say something.	قُل شيئاً, رجاءً.
Please shut the door.	أغلق الباب من فضلك.
Please turn the page.	من فضلك إقلب الصفحة.
Quick, run after him.	بسرعة ، إلحق به.
Raise your left hand.	اِرفع يدك اليسرى.
Shake hands with him.	سلم عليه.
She can speak French.	بإمكانها تحدث الفرنسية.
She is angry with me.	إنها غاضبة معي.
She is having dinner.	إنها تتناول العشاء.
She lives in comfort.	إنها تعيش حياة مريحة.
She lives in comfort.	إنها تعيش في راحة.
She lost her handbag.	فقدت حقيبة يدها.
She married a sailor.	هىَ متزوجة من بحار.
She raised her hands.	لقد رَفَعَت يديها.
She slapped his face.	صفعته.
She slapped his face.	صفعته كفاً.
She slapped his face.	صفعته كفاً على وجهه.
She was born in 1960.	هى ولدت في العام 1960.
She wore a red dress.	لبست فستاناً أحمراً.
She's a quiet person.	إنها هادئة.
She’s a doctor now.	هي طبيبة الآن.
Shouldn't we ask Tom?	أليس علينا سؤال توم؟
Show me how it works.	أرني كيف تعمل.
Speak louder, please.	رجاء، ارفع صوتك.
Speak louder, please.	رجاء، تكلم بصوت أعلى.
Speak louder, please.	لطفاً، ارفع صوتك.
Take a look at these.	ألق نظرة على هذه
Take a look in there.	ألق نظرة هناك
Thank you for coming.	شكرًا على قدومك.
Thanks for the drink.	شكرا على الشراب
That car is very new.	تلك السيارة حقاً جديدة
That changes nothing.	هذا لا يغير شيء.
That meat is chicken.	ذلك اللحم لحم دجاج.
That's an order, Tom.	هذا أمر يا توم.
That's extraordinary.	ذلك خارق للعادة.
That's his specialty.	هذا تخصصه.
That's how I grew up.	هكذا نشأت\\تربيت
That's my dictionary.	ذاك قاموسي.
That's pretty normal.	هذا طبيعي نوعا ما.
The boy began to cry.	أخذ الولد يبكي.
The boy came running.	أتى الولد راكضاً.
The clock is ticking.	الساعة تُتكتك .
The ground seems wet.	تبدو الأرض مبلولة.
The house is burning.	المنزل يحترق.
The house is haunted.	البيت مسكون.
The house is haunted.	البيت مسكون بالأشباح.
The house went cheap.	بِيع المنزل بثمن بخس.
The house went cheap.	بيع المنزل بثمن رخيص.
The maid made my bed.	رتبت الخادمة سريري.
The rain has stopped.	توقّف المطر.
The rumor isn't true.	تلك الإشاعة ليست صحيحة.
The students laughed.	ضحك الطلاب.
The woman is reading.	المرأة تقرأ
There isn't any hope.	لا يوجد أي أمل.
There isn't any soap.	ليس هناك أي صابون.
There isn't any soap.	لم يعد هناك أي صابون.
There were three men.	كان هنالك ثلاثة رجال.
These are my pencils.	هذه أقلامي.
These shoes are hers.	ذلك حذاءها.
They are my brothers.	هم إخوتي.
They have lost a lot.	لقد خسروا الكثير.
They lost the battle.	خسروا المعركة.
They lost the battle.	خسروا الحرب.
They won't intervene.	هم لن يتدخلوا.
They're all tourists.	جميعهم سياح .
This bicycle is mine.	هذه دراجتي.
This bicycle is mine.	تلك الدراجة دراجتي.
This bird cannot fly.	هذا الطائر لا يمكنه الطيران.
This bird cannot fly.	هذا الطائر لا يمكنه التحليق.
This car is like new.	هذه السيارة تبدو كالجديدة
This is a small book.	هذا كتاب صغير
This is our land now.	باتت هذه أرضنا الآن.
This one is prettier.	هذا أجمل.
This pen has run dry.	جفّ هذا القلم.
This pen has run dry.	جفّ القلم.
This watch is broken.	هذه الساعة مكسورة
This will cost €30.	سيكلفك ذلك ثلاثين يورو.
This will cost €30.	الحساب ثلاثون يورو.
Those books are mine.	هذه كتبي.
Tom broke the window.	كسر توم زجاج النافذة.
Tom didn't fire Mary.	توم لم يطرد ماري
Tom gave me an apple.	أعطاني توم تفاحة.
Tom has a nice smile.	.لتوم إبتسامة جميلة
Tom is a good person.	توم شخص جيد
Tom is an only child.	توم وحيد لأهله.
Tom is angry at Mary.	توم غاضب على مارى.
Tom isn't lonely now.	توم ليس وحيداً الآن.
Tom isn't very happy.	توم ليس سعيداً جداً
Tom knows I like him.	توم يعرف أنني أوده.
Tom lost their trust.	توم خَسِرَ ثِقَتَهُم.
Tom saw Mary do that.	توم رأى ماري تقوم بذلك
Tom tried to kill me.	حاول توم قتلي.
Tom tried to kill me.	حاول توم أن يقتلني.
Tom tried to kill us.	حاول توم قتلنا!
Tom tried to stop it.	حاول توم إيقافها.
Tom wants to meet me.	يريد توم اللقاء بي.
Tom won't let you go.	لن يتخلى عنك توم.
Was it an earthquake?	هل كان ذلك زلزالا؟
We all make mistakes.	كلنا نخطئ.
We are not Americans.	نحن لسنا أمريكيين.
We can't forget that.	لا نستطيع نسيان ذلك
We didn't believe it.	لم نصدق ذلك
We have an emergency.	لدينا حالة طارئة.
We love our children.	نحن نحب أولادنا.
We require your help.	نحتاج إلى مساعدتك.
We'll do it tomorrow.	نحن سنفعل ذلك غداً.
We're being attacked.	لقد هوجمنا!
Were you with anyone?	أكنت مع أحد؟
Were you with anyone?	أكنت مع أحدهم؟
What I did was wrong.	ما فعلته أنا كان خاطئاً.
What a nice surprise!	يا لها من مفاجأة جميلة.
What are you cooking?	ماذا تطبخ؟
What are you reading?	ماذا تقرأ
What do you want now?	ماذا تريد الآن؟
What do you want now?	ما الذي تريده الآن؟
What do you wish for?	ماذا تتمنى؟
What does it contain?	على ماذا يحتوي؟
What happened to him?	ما الذي حصل له؟
What is your address?	ما عنوانك؟
What made her so sad?	ما الذي أحزنها هكذا؟
What's Tom doing now?	ماذا يفعل الآن توم؟
What's going on here?	ما الذي يحدث هنا؟
What's going on here?	ماذا يحدث هنا؟
What's that building?	ما هذا المبنى؟
When did you see her?	متى قابلتها؟
Where are my glasses?	أين نظارتي؟
Where are the others?	أين الآخرين؟
Where are they going?	أين هم ذاهبون؟
Where are you off to?	إلى أين أنتم ذاهبون؟
Where is the laundry?	أين الغسيل؟
Where is the laundry?	أين الملابس التي تحتاج إلى غسل؟
Where is the mailbox?	أين صندوق البريد؟
Where is the mistake?	أين الخطأ؟
Where is the problem?	أين المشكلة؟
Where is the station?	أين المحطة؟
Where is your father?	أين والدك؟
Where is your father?	أين أبوك؟
Where is your school?	أين مدرستك؟
Where is your sister?	أين أختك؟
Where's the pharmacy?	أين الصيدلية؟
Which book is better?	أي كتاب أفضل؟
Which diet is better?	أي حمية أفضل؟
Who are those people?	من هؤلاء الأشخاص؟
Who are those people?	من هؤلاء ؟
Who coaches the team?	من يدرب الفريق؟
Who wrote the letter?	من كتب الرسالة؟
Who's coming with me?	من سيأتي معي؟
Why do you know that?	لماذا تعلم ذلك؟
Why do you work here?	لمَ تعمل هنا؟
Why don't we go home?	لماذا لا نذهب إلى البيت؟
Why is Tom even here?	مالداعي لوجود توم هنا أصلا؟
Why is Tom even here?	لماذا توم هنا أصلا؟
Will you go with Tom?	هل ستذهب مع توم؟
Women like attention.	تحبّ النّساء جلب الانتباه.
You are new students.	أنتم طلبة جدد.
You are not Japanese.	أنت لست يابانياً.
You are not Japanese.	أنت لست ياباني
You are not a coward.	إنك لست جباناً.
You are not a doctor.	إنك لست طبيباً.
You are the only one.	أنت الشخص الوحيد.
You can come with me.	يمكنك المجيئ معي.
You can come with me.	بإمكانك القدوم معي.
You can come with me.	يمكنك مرافقتي.
You can come with us.	أنتِ يمكنكِ أن تأتي معنا.
You can come with us.	أنتَ يمكنكَ أن تأتي معنا.
You can't be serious.	لا يمكن أن تكون جاداً.
You don't need to go.	ليس عليك الذهاب.
You keep out of this.	ابق خارج هذا الموضوع.
You keep out of this.	لا تتدخل.
You know what I mean.	تعرف ما أعنيه.
You look happy today.	تبدو مسروراً اليوم.
You look happy today.	تبدو سعيداً هذا اليوم.
You should apologize.	عليك أن تتأسف.
You should head west.	يجب أن تذهب غربا
You should not sleep.	يجب أن لا تنام.
You should work hard.	عليك أن تعمل بجدّ.
You're a patient man.	أنت رجل صبور.
You're going too far.	لقد تعدّيت حدودك.
You're not listening!	أنت لا تُصغي.
You're not ready yet.	أنتَ لستُ جاهزاً بعد.
You're not ready yet.	أنتِ لستِ جاهزةً بعد.
You've been deceived.	لقد خدعت.
You've put on weight.	أنت سمنت.
Your answer is right.	إجابتك صحيحة.
Your answer is wrong.	إجابتك خاطئة.
Your dog is very fat.	كلبك سمين للغاية.
Above all, be patient.	أهم شيء أن تكن صبوراً.
All right, I'll do it.	لا بأس، سأتولى أنا الأمر.
Always tell the truth.	قل الحقيقة دائماً.
Any child can do that.	أي طفل يمكنه فعل ذلك.
Any child can do that.	بإمكان أي ولد القيام بذلك.
Any child can do that.	يستطيع كل طفل فعل ذلك.
Are these books yours?	هل هذه الكتب لك؟
Are these books yours?	هل هي كتبك ؟
Are these your things?	هل تلك الأشياء لك؟
Are you all right now?	هل أنتَ بخير الآن؟
Are you all right now?	هل أنتِ بخير الآن؟
Are you coming or not?	هل ستأتي أم لا؟
Are you free tomorrow?	هل أنت غير مشغول غداً؟
Are you going to sing?	هل ستغني؟
Are you going with us?	أذاهب أنت معنا؟
Are you talking to me?	هل تحدثني؟
Are you talking to me?	هل تكلمني؟
Are you talking to me?	هل تتكلم معي؟
But Dad won't like it.	و لكن أبي لن يعجبه ذلك.
Can I borrow your car?	هل لي أن أستعير سيارتك؟
Can I borrow your pen?	أيمكنني اِستعارة قلمك؟
Can I use your pencil?	هل يمكنني أن أستعمل قلمك الرصاص؟
Can you keep a secret?	أيمكنك أن تحفظ سراً؟
Can you speak English?	هل تستطيع التحدث باللغة الانجليزية؟
Come here and help me.	تعال و ساعدني.
Could you tackle this?	هل يمكنك معالجة هذا الامر؟
Count from one to ten.	عد من واحد إلى عشرة.
Did it snow yesterday?	هل أثلجت البارحة؟
Did you buy this book?	هل اشتريت الكتاب؟
Did you say something?	هل قلتَ شيئًا ؟
Do you have a receipt?	هل عندك الفاتورة؟
Do you have a website?	هل عندك موقع؟
Do you hear any sound?	هل تسمع أي صوت؟
Do you know my father?	أتعرف والدي؟
Do you know who he is?	هل تعرفه؟
Do you know who he is?	هل تعرف من يكون؟
Do you like it or not?	هل تحب ذلك أم لا؟
Do you own a computer?	هل تمتلك كمبيوتر؟
Do you own a computer?	هل لديك حاسب آلي؟
Do you really love me?	أتحبني بحق؟
Do you really love me?	أتحبينني بحق؟
Do you still need tea?	هل مازلتَ تريد شاياً؟
Do you still need tea?	هل مازلتِ تريدين شاياً؟
Does Tom want to come?	هل يريد توم أن يأتي؟
Does she have a piano?	هل لديها بيانو؟
Does she like oranges?	هل تحب البرتقال؟
Don't forget about us!	لا تنسنا.
Don't say such things.	لا تَقُل مِثل هذهِ الأشياء.
Don't touch my camera.	لا تلمس آلة تصويري.
Don't try to trick us.	لا تحاول خداعنا.
Don't use this faucet.	لا تستخدم هذا الصنبور
Don't waste your time.	لا تضع وقتك سدی
Don't you play tennis?	ألا تلعب التنس؟
Eat whatever you like.	كُلْ ما تريد.
Everybody loves music.	الجميع يحبون الموسيقى.
Fat hens lay few eggs.	الدجاجات السمينة تبيض أقل.
Give it to me, please.	أعطني إياها من فضلك.
Give this book to Tom.	أعط هذا الكتاب لتوم
Go back to your seats.	عودوا إلى أماكنكم.
Go back to your seats.	عودوا إلى مقاعدكم.
Has Tom been indicted?	هل تم اتهام توم؟
Haven't we met before?	ألم نلتقي مسبقاً؟
Haven't we met before?	هل إلتقينا من قبل؟
He asked me for money.	لقد طلب مني مال.
He broke into a house.	اقتحم المنزل.
He came several times.	أتى عدة مرات.
He drives his own car.	إنه يقود سيارته الخاصة.
He has a lot of money.	لديه الكثير من المال.
He is a famous artist.	إنه رسّام مشهور.
He is a famous artist.	إنه فنّان مشهور.
He is always laughing.	دائماً ما أراه ضاحكاً.
He is always laughing.	إنه دائم الضحك.
He is good at driving.	إنه ماهر في القيادة.
He is poor, but happy.	إنه سعيد رغم فقره.
He is poor, but happy.	إنه فقير، لكنه بالرغم من ذلك سعيد.
He kept a seat for me.	حجز مقعداً لي.
He knows us very well.	إنه يعرفنا جيداً.
He left the door open.	ترك الباب مفتوحاً.
He must be over sixty.	لا شكّ أن عمره يتجاوز الستين.
He must be over sixty.	لا شكّ أنه قد تجاوز الستين.
He told me everything.	قال لي كل شيء.
He's my older brother.	إنه أخي الأكبر.
He's never told a lie.	لم تُسْمَع منه كِذبة أبدا.
Her face turned white.	انقلب وجهه أبيضا.
Here's to your health!	ها هي بصحتك.
His plan is dangerous!	خطته خطرة!
How can I change that?	كيف يمكنني أن أغيّر هذا؟
How can you know that?	كيف بإمكانك معرفة ذلك؟
How did you come here?	كيف جئت إلى هنا؟
How did you cook this?	كيف طهيت هذا؟
How did you know that?	أنتَ كيف عرفتَ ذلك؟
How did you know that?	أنتِ كيف عرفتِ ذلك؟
How long did you stay?	كَم لبثت؟
How long did you stay?	كَم أقمت؟
How long does it take?	كم تستغرق من الوقت؟
How should I eat this?	كيف آكل هذا؟
How was your vacation?	كيف كانت إجازتك؟
I admire your courage.	تعجبني شجاعتك.
I admire your courage.	أنا معجب بشجاعتك.
I am an honest person.	أنا إنسان صادق.
I am pressed for time.	ليس لديّ وقت.
I bought a few stamps.	اشتريت بضع طوابع بريدية.
I bought a used phone.	اشتريت جوال مستعمل.
I came here yesterday.	جئت هنا بالأمس.
I came here yesterday.	أتيت إلى هنا البارحة.
I came here yesterday.	كنت هنا البارحة.
I can do it by myself.	أستطيع فعلها بنفسي.
I can hardly hear you.	بالكاد أسمعك.
I can hardly hear you.	بالكاد أستطيع سماعك.
I can't find my watch.	لا أستطيع أن أجد ساعتي.
I can't take the heat.	لا أستطيع تحمل الحرارة.
I carried three books.	حملت ثلاثة كتب.
I dislike being alone.	لا أحب أن أكون وحدي.
I do not like science.	لا أحب مادة العلوم.
I don't drink alcohol.	أنا لا أشرب الكحول.
I don't know anything.	لا أعرف شيئاً.
I don't know his name.	أنا لا أعرف اسمه
I don't understand it.	أنا لا أفهمه
I don't want to sleep.	لا أريد النوم
I forgot to buy bread.	نسيتُ شراء الخبز.
I forgot to buy sugar.	نسيتُ شراء السكّر.
I gave Tom everything.	أعطيت توم كل شيء.
I go to school by bus.	أذهب إلى المدرسة بالباص.
I got wet to the skin.	تبللت حتى بلغ البلل بدني.
I got wet to the skin.	بلغ البلل بدني.
I had my money stolen.	سُرقت نقودي.
I had my money stolen.	سُرق مالي.
I have a good job now.	لدي وظيفة جيدة الان.
I have a tourist visa.	انا املك تأشيرة سياحية .
I have an appointment.	لدي موعد.
I have lost my wallet.	فقدت محفظتي.
I have lost my wallet.	أضعت محفظة نقودي.
I have no money on me.	ليس معي نقود
I have some time left.	بقي عندي بعض الوقت.
I have to go to sleep.	عليّ أن أنام.
I have to go to sleep.	عليّ الذهاب إلى النوم.
I just saw an opossum.	لقد رأيت للتو حيوان الأبوسوم.
I know Tom loves Mary.	أنا أعلم أن توم يحب ماري
I know how to survive.	انا اعرف كيفية النجاة
I know it was serious.	أنا أعلم أنها كانت خطيرة
I know where you live.	أنا أعلم أين تسكن
I like helping others.	أحب مساعدة الآخرين.
I like playing sports.	أحب ممارسة الألعاب الرياضية.
I met her an hour ago.	قابلتها منذ ساعة.
I must help my mother.	علي أن أساعد أمي.
I need to concentrate.	أحتاج إلى التركيز.
I need to concentrate.	أحتاج إلى أن أركز.
I need to get a stamp.	أحتاج طابعاً بريدياً.
I need to get a stamp.	أحتاج الحصول على طابع بريدي.
I never liked biology.	لم أحب مادة الأحياء قط.
I never liked biology.	لم أحب مادة الأحياء أبداً.
I no longer live here.	أنا لم أعد أعيش هنا.
I owe her 100,000 yen.	أدين لها بمئة ألف ين.
I realize I messed up.	أدركت الآن أنني عبثت.
I remember seeing her.	أتذكر أني رأيتها.
I slept on the ground.	لقد نمتُ على الأرض.
I think Tom knows why.	أظن أن توم يعلم لماذا
I think he won't come.	لا أظن أنه آتٍ.
I think he won't come.	لا أعتقد أنه سيأتي.
I think he won't come.	لا أظن أنه قادم.
I thought it was true.	ظننته صحيحًا.
I tried, but I failed.	حاولتُ ولكني فشلت.
I usually play tennis.	عادةً ما ألعب التنس.
I want a book to read.	أريد كتاباً لأقرأ
I want a new computer.	أريد حاسوبا جديدا.
I want to be a doctor.	أريد أن أصبح طبيباً.
I want to go to Italy.	أريد الذهاب إلى إيطاليا.
I want to go to Italy.	أود السفر إلى إيطاليا.
I want to go to Kyoto.	أريد الذهاب إلى كيوتو.
I want to go to Kyoto.	أريد أن أذهب إلى كيوتو.
I want to go to Tokyo.	أريد الذهاب إلى طوكيو.
I want to go to Tokyo.	أريد أن أذهب إلى طوكيو.
I want to go with you.	أريد الذهاب معك.
I want to visit Korea.	أريد أن أزور كوريا.
I want you to read it.	أريدك أن تقرأه
I wanted to read them.	أردت قراءتهم.
I was happy yesterday.	كنت سعيدًا بالأمس.
I was happy yesterday.	كنت فرِحًا بالأمس.
I was happy yesterday.	كنت فرِحةً بالأمس.
I went home and cried.	ذهبت للمنزل وبكيت.
I went to Europe once.	ذهبت إلى أوروبا مرة.
I will fly to Germany.	سأُحَلِق إلى المانيا.
I will make her happy.	سأسعدها.
I will make her happy.	سأجعلها سعيدة - سأشعرها بالسعادة
I will never hurt you.	لن أجرح مشاعرك أبدا
I wish to be a doctor.	أتمنى أن أكون طبيبا.
I would rather not go.	أفضل أن لا أذهب.
I'd never hit a woman.	لن أضرب امرأة أبدا.
I'll be here all week.	سأكون هنا طوال الأسبوع.
I'll buy him a pencil.	سأشتري له قلماً.
I'll get some glasses.	سأحضر بعض كؤوس الشرب.
I'll get some glasses.	سأحضر بعض النظارات .
I'll love you forever.	سأحبك إلى الأبد.
I'll meet you outside.	سأقابلك في الخارج.
I'll miss you so much.	سأفتقدك كثيرًا.
I'll never betray you.	لن أخونك أبدًا!
I'll never forget you.	لن أنساك أبداً.
I'll never let you go.	لن أتركك ترحل أبدا.
I'll see you tomorrow.	أراك غداً.
I'm charging my phone.	أقوم بشحن هاتفي
I'm from Tokyo, Japan.	أنا من طوكيو عاصمة اليابان.
I'm giving up smoking.	أقلعت عن التدخين.
I'm giving up smoking.	تركت التدخين.
I'm going to the bank.	أنا ذاهب إلى البنك.
I'm here as a tourist.	انا هنا بصفتي سائح .
I'm not good at lying.	لست بارعا في الكذب.
I'm not happy with it.	أنا لست سعيداً به
I'm reading this book.	أنا أقرأ هذا الكتاب
I'm reading your book.	أنا أقرأ كتابك
I'm really not hungry.	أنا حقاً لستُ جائعاً.
I'm really not hungry.	أنا حقاً لستُ جائعة.
I'm sure I'll be fine.	أنا متأكد أني سأكون بخير.
I'm sure Tom is bored.	أنا متأكد أن توم ممل.
I'm sure you're right.	أنا متأكد أنكَ محق.
I'm sure you're right.	أنا متأكدة أنكَ محق.
I'm sure you're right.	أنا متأكد أنكِ محقة.
I'm telling the truth.	أنا أقول الحقيقة.
I'm tired of studying.	تعبتُ من الدراسة.
I've always loved you.	لطالما أحببتك.
I've been here before.	كنت هنا من قبل.
I've been here before.	جئت إلى هنا من قبل.
I've been here before.	سبق لي أن كنت هنا.
I've climbed Mt. Fuji.	لقد تسلقت جبل فوجي.
I've come to save you.	أتيتُ لإنقاذك.
I've got two brothers.	لدي شقيقين.
I've made my decision.	أنا صنعت قراري.
Is it really all over?	هل انتهى كل شيء حقا؟
Is somebody out there?	هل هناك أحد بالخارج؟
Is that even possible?	هل هذا ممكن؟
Is that even possible?	هل هذا حتيَ ممكن؟
Is that too expensive?	هل هو غال جدا؟
Is this a gift for me?	هل هذهِ هدية لي؟
Is this your umbrella?	هل هذه مظلتك؟
Is this your umbrella?	أهذه المظلة لك؟
Is your watch correct?	هل ساعتك دقيقة الوقت؟
Is your watch correct?	هل ساعتك على التوقيت الصحيح؟
It feels like a dream.	إنهُ يبدو كالحلم.
It isn't here anymore.	لم تعد هنا بعد الآن.
It tastes really good.	إنها لذيذة.
It tastes really good.	إنها لذيذة المذاق.
It was cold yesterday.	كان الجو بارداً البارحة.
It was cold yesterday.	البارحة كان برداً.
It's Monday, you know.	إنه يوم الإثنين, كما تعلم
It's great to see you.	إنه من الرائع رؤيتك
It's useless to argue.	لا جدوى من الجدال.
It's very nice of you.	إنها رائعة جداً عليك.
Just a moment, please.	لحظة من فضلك.
Just breathe normally.	فقط تنفس طبيعي.
Leave my camera alone.	دع كاميرتي و شأنها.
Let's get ready to go.	دعونا نستعد للذهاب.
Let's get ready to go.	دعنا نستعد للذهاب.
Let's get ready to go.	دعينا نستعد للذهاب.
Let's go to my office.	هيا بنا نذهب إلى مكتبي.
Let's go to the beach.	لنذهب إلى الشاطئ.
Let's help each other.	لنساعد بعضنا.
Let's just be friends.	دعنا فقط نصبح أصدقاء.
Let's just be friends.	دعينا فقط نصبح أصدقاء.
Let's just be friends.	دعونا فقط نصبح أصدقاء.
Let's meet again soon.	لنلتقي مرة أخرى قريباً.
Let's play volleyball.	لنلعب كرة الطائرة.
Let's turn off the TV.	فلنغلق التلفاز .
Like father, like son.	هذا الشبل من ذاك الأسد.
Like father, like son.	الإبن سر أبيه.
Listen to your father.	إستمع إلى أبيك
Listen to your mother.	استمع إلى أمك
Make yourself at home.	خذ راحتك.
May I go to the river?	أيمكنني الذهاب إلى النهر؟
Mom is older than Dad.	أمي أكبر من أبي سناً.
Mom is older than Dad.	أمي تكبر أبي عمراً.
Mom, Tom's hitting me!	أُمي, توم يضربني.
My dad is very strict.	أبي صارم للغاية.
My father is a doctor.	أبي طبيب.
My father is a doctor.	يعمل والدي طبيباً.
My father loves pizza.	أبي يحب البيتزا.
My friend has arrived.	صديقي قد وصل.
My life was in danger.	حياتي كانت في خطر.
My room is very small.	غرفتي صغيرةٌ جداً.
No one encouraged her.	لم يشجّعها أحد.
No one knows his name.	لا يعرف أحد اسمه.
No one speaks with me.	لا أحد يتكلم معي.
No one's stopping you.	لا أحد يوقفك
Nobody encouraged her.	لم يشجّعها أحد.
Nobody listened to me.	لا أحد يستمع إليّ.
Nobody understands me.	لا يفهمني أحد.
Nobody understands me.	لا أحد يفهمني.
Not all birds can fly.	ليس بإمكان جميع الطيور أن تطير.
Our water pipes burst.	انفجرت أنابيب المياه عندنا.
People laughed at him.	ضحك الناس عليه.
Playing tennis is fun.	لعب التنس أمر ممتع.
Please close the door.	من فضلك أغلق الباب.
Please copy this page.	من فضلك اِنسخ هذه الصفحة.
Please iron the shirt.	اكوِ القميص من فضلك.
Please keep it secret.	من فضلك أبق الأمر سراً.
Please leave me alone.	من فضلك اتركني وحدي.
Please repair the car.	من فضلك أصلح السيارة.
Please think about it.	من فضلك فكر في الأمر.
Please think about it.	من فضلك فكر في الموضوع.
Please throw the ball.	من فضلك اِرمِ الكرة.
Put your weapons down.	ضع سلاحك على الأرض.
Raise your right hand.	اِرفع يدك اليمنى.
Rats carry the plague.	تحمل الفئران الطاعون.
She answered in tears.	أجابت باكيةً.
She answered in tears.	أجابت و هي تبكي.
She asked me for help.	طلبت مني المساعدة.
She decided to resign.	قررت أن تستقيل.
She gave me a present.	أعطتني هدية.
She has a few friends.	لديها القليل من الأصدقاء.
She ironed his shirts.	كوت قمصانه.
She is a noted singer.	هي مغنية مشهورة.
She is about to leave.	هي على وشك المغادرة.
She is as tall as you.	إنها بنفس طولك.
She is very beautiful.	إنها جميلة جداً.
She lives in New York.	إنها تعيش في نيويورك.
She loves Tom, not me.	هي تحب توم, ليس أنا
She refused his offer.	رفضت عرضه.
She screamed for help.	صرخت طالبة المساعدة.
She took her own life.	قتلت نفسها.
She took her own life.	إنتحرت.
She took her own life.	قامت بالإنتحار.
She turned eighty-one.	أصبح عمرها واحداً و ثمانين سنة.
She's eating an apple.	إنها تأكل تفاحة.
She's in the restroom.	إنها في الحمام.
She's my older sister.	إنها أختي الكبرى.
Shouldn't you go home?	يجب ان تذهب للبيت ؟
Show me another watch.	أرني ساعة يد أخرى.
Sit wherever you like.	اجلس في أي مكان تحب.
Spring will come soon.	سيأتي الربيع قريباً.
Take care of the kids.	اعتني بالاطفال.
Take care of yourself.	اعتنِ بنفسك.
Take off your clothes.	اخلع ملابسك!
Tell me what happened.	أخبرني ، ما الذي حدث؟
Tell me what happened.	أخبرني ما حدث.
Thanks for the advice.	شكرا على النصيحة.
Thanks for the effort.	شكرا على جهودك.
That's awesome, right?	رائع، صحيح؟
That's what I thought.	ذلك ما ظننته
That's why I like you.	لذلك أحبك
That's why we're here.	لذلك نحن هنا
The brake didn't work.	لم تعمل المكابح.
The cat is on the mat.	القطة على السجادة.
The clock has stopped.	توقفت الساعة.
The dogs kept barking.	واصلت الكلاب النّباح.
The faucet is leaking.	الصنبور يسرب .
The lake is deep here.	البحيرة عميقة هنا.
The lake is very deep.	البحيرة عميقة جداً.
The man lost all hope.	فقد الرجل الأمل كلياً.
The pain was terrible.	كان الألم فظيعاً.
The pond is very deep.	البركة عميقة جدًّا.
The rain is wonderful.	المطر رائع.
The sun is rising now.	تشرق الشمس الآن.
The train has arrived.	وصل القطار.
The war ended in 1954.	انتهت الحرب عام ١٩٥٤م.
There are no problems.	ليس هناك أي مشاكل.
There has to be a way.	لا بد من وجود طريقة ما.
There's nobody inside.	لا أحد بالداخل.
These are my brothers.	هؤلاء إخوتي
They are the same age.	هما في نفس العمر.
They are the same age.	هم في نفس السن.
They come from Sweden.	هم من السويد
They hated each other.	يكرهان بعضهما البعض.
They shared the money.	إنهم إقتسموا المال.
They shouted for help.	صرخوا طالبين النجدة.
They were not invited.	إنهم لم يكونوا مدعويين.
They're eating apples.	إنهم يأكلون التفاح.
They've already eaten.	قد سبق وأكلوا.
This house is not new.	ليس البيت بجديد.
This is an apple, too.	هذه تفاحة أيضاً.
This is enough for me.	هذا يكفيني.
This is not important.	إن ذلك ليس مهماً.
This is not important.	هذا ليس مهماً.
This is not important.	ليس ذلك بالشيء المهم.
This is what we found.	هذا ما وجدناه.
This may take a while.	قد يستغرق بعض الوقت
This tattoo is stupid.	هذا الوشم سخيف.
Those are my trousers.	ذاك بنطالي.
Tom and Mary are dead.	ماتا توم وماري.
Tom can't play tennis.	توم لا يمكنه لعب التنس.
Tom has a poor memory.	توم له ذاكرة ضعيفة.
Tom hasn't apologized.	توم لم يعتذر
Tom is better than us.	توم أفضل منا.
Tom is coming for you.	توم آت لأجلك/لك
Tom is very talkative.	توم كثير الكلام.
Tom keeps a black cat.	توم يربّي قطة سوداء.
Tom knows those rules.	توم يَعرِفُ القوانينَ.
Tom left me a message.	ترك لي توم رسالة.
Tom said he knew Mary.	توم قال أنه يعرف ماري
Tom said he'd be here.	توم قال أنه قد يكون هنا
Tom was not impressed.	توم لم يكن متأثر.
War broke out in 1939.	اِندلعت الحرب عام ١٩٣٩م.
War broke out in 1939.	اِندلعت الحرب عام ١٩٣٩ ميلادية.
War broke out in 1939.	اِندلعت الحرب عام ١٩٣٩ للميلاد.
War broke out in 1941.	اِندلعت الحرب عام ١٩٤١م.
Watch your mouth, Tom.	انتبه لما تقوله يا توم.
We all desire success.	كلنا يرغب بالنجاح.
We all desire success.	كلنا نرغب بالنجاح.
We all desire success.	الكل يريد النجاح.
We all desire success.	كلنا نريد التفوق.
We feel good about it.	نتفائل به.
We feel good about it.	نحمل شعورا جيدا تجاهه.
We helped one another.	ساعدنا بعضنا.
We respect each other.	نحن نحترم بعضنا البعض.
We should go to sleep.	علينا الخلود إلى النوم.
We stood face to face.	وقفنا وجهاً لوجه.
We talked for a while.	تحدثنا لفترة.
We took turns driving.	تبادلنا الأدوار في القيادة.
